nFID, Class
475, 4
502, 4
532, 4
533, 4
549, 4
553, 4
550, 4
557, 4
566, 4
581, 4
580, 4
584, 4
594, 4
595, 4
598, 4
601, 4
607, 4
606, 4
609, 4
614, 4
626, 4
637, 4
650, 4
712, 4
779, 4
787, 4
864, 4
932, 4
945, 4
958, 4
960, 4
977, 4
1004, 4
1013, 4
1009, 4
1027, 4
1030, 4
1057, 4
1059, 4
1062, 4
1070, 4
1071, 4
1078, 4
1102, 4
1110, 4
1115, 4
1143, 4
1141, 4
1150, 4
1161, 4
1170, 4
1181, 4
1208, 4
1220, 4
1218, 4
1237, 4
1259, 4
1301, 4
1310, 4
1313, 4
1324, 4
1328, 4
1353, 4
1356, 4
1359, 4
1365, 4
1382, 4
1394, 4
1406, 4
1403, 4
1420, 4
1440, 4
1481, 4
1484, 4
1506, 4
1509, 4
1517, 4
1573, 4
1577, 4
1576, 4
1578, 4
1580, 4
1588, 4
1600, 4
1601, 4
1619, 4
1650, 4
1663, 4
1669, 4
1679, 4
1685, 4
1684, 4
1701, 4
1704, 4
1731, 4
1733, 4
1732, 4
1738, 4
1766, 4
1771, 4
1795, 4
1800, 4
1815, 4
1819, 4
1833, 4
1837, 4
1844, 4
1850, 4
1857, 4
1855, 4
1865, 4
1866, 4
1874, 4
90, 5
91, 5
126, 5
400, 5
697, 5
701, 5
1586, 5
