nFID, Class
1833, 3
1834, 3
1837, 3
1850, 3
1855, 3
1857, 3
1866, 3
1871, 3
1874, 3
1877, 3
1883, 3
1906, 3
75, 4
87, 4
94, 4
96, 4
102, 4
109, 4
117, 4
141, 4
156, 4
184, 4
213, 4
214, 4
215, 4
235, 4
238, 4
292, 4
302, 4
309, 4
312, 4
315, 4
351, 4
353, 4
356, 4
357, 4
385, 4
420, 4
422, 4
423, 4
430, 4
432, 4
437, 4
439, 4
453, 4
455, 4
466, 4
473, 4
477, 4
488, 4
495, 4
496, 4
505, 4
526, 4
559, 4
561, 4
565, 4
574, 4
577, 4
602, 4
617, 4
621, 4
636, 4
640, 4
644, 4
663, 4
666, 4
667, 4
668, 4
672, 4
681, 4
686, 4
687, 4
691, 4
704, 4
701, 4
700, 4
702, 4
714, 4
719, 4
736, 4
740, 4
758, 4
760, 4
776, 4
778, 4
793, 4
798, 4
801, 4
804, 4
818, 4
823, 4
828, 4
866, 4
870, 4
893, 4
903, 4
909, 4
921, 4
927, 4
929, 4
963, 4
965, 4
996, 4
1033, 4
1064, 4
1075, 4
1077, 4
1082, 4
1099, 4
1112, 4
1139, 4
1148, 4
1153, 4
1158, 4
1163, 4
1193, 4
1202, 4
1216, 4
1242, 4
1262, 4
1265, 4
1268, 4
1287, 4
1299, 4
1300, 4
1304, 4
1326, 4
1330, 4
1346, 4
1351, 4
1358, 4
1369, 4
1377, 4
1380, 4
1384, 4
1389, 4
1390, 4
1396, 4
1400, 4
1402, 4
1404, 4
1416, 4
1419, 4
1422, 4
1471, 4
1490, 4
1499, 4
1502, 4
1533, 4
1590, 4
1637, 4
1664, 4
1702, 4
1714, 4
1756, 4
1758, 4
1770, 4
1821, 4
1824, 4
1827, 4
1862, 4
1864, 4
1867, 4
1878, 4
1891, 4
6, 5
4, 5
110, 5
118, 5
167, 5
172, 5
371, 5
475, 5
732, 5
1043, 5
1102, 5
1166, 5
1359, 5
1486, 5
1587, 5
1844, 5
71, 6
134, 6
169, 6
181, 6
208, 6
308, 6
329, 6
339, 6
344, 6
350, 6
410, 6
573, 6
639, 6
750, 6
861, 6
918, 6
946, 6
957, 6
956, 6
1014, 6
1031, 6
1037, 6
1068, 6
1120, 6
1137, 6
1179, 6
1180, 6
1263, 6
1320, 6
1321, 6
1427, 6
1450, 6
1568, 6
1611, 6
1789, 6
379, 7
476, 7
493, 7
555, 7
556, 7
580, 7
608, 7
661, 7
705, 7
752, 7
865, 7
881, 7
913, 7
1016, 7
1187, 7
1210, 7
1365, 7
1383, 7
1393, 7
1496, 7
1618, 7
1661, 7
1794, 7
1843, 7
1845, 7
1889, 7
10, 8
15, 8
16, 8
18, 8
19, 8
33, 8
64, 8
81, 8
91, 8
105, 8
121, 8
124, 8
125, 8
128, 8
176, 8
180, 8
201, 8
204, 8
205, 8
207, 8
237, 8
264, 8
272, 8
279, 8
282, 8
305, 8
336, 8
354, 8
359, 8
367, 8
425, 8
542, 8
678, 8
711, 8
713, 8
730, 8
737, 8
738, 8
771, 8
780, 8
825, 8
849, 8
850, 8
856, 8
857, 8
858, 8
859, 8
864, 8
912, 8
919, 8
990, 8
994, 8
1000, 8
1019, 8
1041, 8
1042, 8
1056, 8
1061, 8
1088, 8
1089, 8
1096, 8
1106, 8
1129, 8
1168, 8
1183, 8
1191, 8
1231, 8
1261, 8
1259, 8
1286, 8
1316, 8
1317, 8
1356, 8
1370, 8
1408, 8
1429, 8
1431, 8
1485, 8
1507, 8
1513, 8
1535, 8
1542, 8
1547, 8
1581, 8
1600, 8
1607, 8
1616, 8
1632, 8
1633, 8
1634, 8
1630, 8
1635, 8
1631, 8
1636, 8
1670, 8
1674, 8
1684, 8
1685, 8
1691, 8
1692, 8
1786, 8
1790, 8
1809, 8
1841, 8
1847, 8
1849, 8
1881, 8
377, 9
518, 9
761, 9
598, 10
785, 10
390, 11
745, 11
1336, 11
1355, 11
50, 12
55, 12
419, 12
427, 12
436, 12
612, 12
648, 12
725, 12
786, 12
824, 12
1100, 12
1463, 12
1464, 12
1493, 12
1662, 12
1754, 12
1892, 12
389, 13
478, 13
840, 13
90, 14
1510, 14
1586, 14
1879, 14
