nFID, Class
3779, 0
3782, 0
3780, 0
3781, 0
3783, 0
3784, 0
3786, 0
3785, 0
3791, 0
3787, 0
3788, 0
3789, 0
3790, 0
3793, 0
3792, 0
3794, 0
3798, 0
3795, 0
3796, 0
3797, 0
3801, 0
3799, 0
3800, 0
3802, 0
3805, 0
3803, 0
3804, 0
3809, 0
3807, 0
3806, 0
3808, 0
3812, 0
3810, 0
3811, 0
3816, 0
3813, 0
3815, 0
3814, 0
3819, 0
3817, 0
3818, 0
3823, 0
3820, 0
3821, 0
3822, 0
3826, 0
3824, 0
3825, 0
3830, 0
3827, 0
3828, 0
3829, 0
3833, 0
3831, 0
3832, 0
3837, 0
3834, 0
3835, 0
3836, 0
3840, 0
3838, 0
3839, 0
3844, 0
3841, 0
3842, 0
3843, 0
3845, 0
3847, 0
3846, 0
3852, 0
3848, 0
3849, 0
3854, 0
3853, 0
3859, 0
3855, 0
3856, 0
3857, 0
3860, 0
3858, 0
3861, 0
3867, 0
3862, 0
3863, 0
3864, 0
3865, 0
3866, 0
3868, 0
3874, 0
3869, 0
3870, 0
3871, 0
3872, 0
3873, 0
3875, 0
3881, 0
3876, 0
3877, 0
3878, 0
3879, 0
3880, 0
3882, 0
3883, 0
3884, 0
3885, 0
3895, 0
3893, 0
3894, 0
3896, 0
3897, 0
3898, 0
3909, 0
3906, 0
3907, 0
3908, 0
3911, 0
3910, 0
3916, 0
3912, 0
3913, 0
3914, 0
3915, 0
3918, 0
3917, 0
3923, 0
3919, 0
3920, 0
3921, 0
3922, 0
3925, 0
3924, 0
3930, 0
3926, 0
3927, 0
3928, 0
3929, 0
3931, 0
3933, 0
3934, 0
3935, 0
3936, 0
3938, 0
3944, 0
3940, 0
3941, 0
3942, 0
3943, 0
3946, 0
3945, 0
3947, 0
3955, 0
3957, 0
3960, 0
3962, 0
3967, 0
3968, 0
3969, 0
3970, 0
3972, 0
3973, 0
3974, 0
3975, 0
3980, 0
3982, 0
3987, 0
3988, 0
3989, 0
3990, 0
3993, 0
3994, 0
3995, 0
3992, 0
3996, 0
3997, 0
3998, 0
3999, 0
4000, 0
4001, 0
4002, 0
4003, 0
4004, 0
4005, 0
4006, 0
4007, 0
4008, 0
4009, 0
4010, 0
4011, 0
4012, 0
4014, 0
4015, 0
4013, 0
4016, 0
4017, 0
4018, 0
4020, 0
4023, 0
4025, 0
4026, 0
4027, 0
4028, 0
4029, 0
4030, 0
4032, 0
4036, 0
4037, 0
4038, 0
4041, 0
4042, 0
4043, 0
4044, 0
4045, 0
4047, 0
4048, 0
4049, 0
4046, 0
4052, 0
4053, 0
4054, 0
4051, 0
4055, 0
4056, 0
4057, 0
4058, 0
4059, 0
4060, 0
4061, 0
4062, 0
4063, 0
4064, 0
4065, 0
4066, 0
4067, 0
4068, 0
4070, 0
4069, 0
4071, 0
4072, 0
4073, 0
4074, 0
4075, 0
4076, 0
4077, 0
4078, 0
4079, 0
4080, 0
4081, 0
4082, 0
4083, 0
4085, 0
4050, 0
4087, 0
4088, 0
4086, 0
4084, 0
4089, 0
4090, 0
4091, 0
4093, 0
4092, 0
4094, 0
4095, 0
4098, 0
4097, 0
4100, 0
4099, 0
4101, 0
4102, 0
4096, 0
4103, 0
4104, 0
4106, 0
4107, 0
4105, 0
4108, 0
4110, 0
4109, 0
4111, 0
4112, 0
4114, 0
4115, 0
4116, 0
4113, 0
4117, 0
4118, 0
4119, 0
4120, 0
4121, 0
4123, 0
4124, 0
4122, 0
4125, 0
4126, 0
4127, 0
4128, 0
4129, 0
4131, 0
4132, 0
4130, 0
4133, 0
4134, 0
4135, 0
4136, 0
4137, 0
4140, 0
4141, 0
4138, 0
4139, 0
4142, 0
4143, 0
4144, 0
4145, 0
4146, 0
4147, 0
4148, 0
4149, 0
4150, 0
4151, 0
4152, 0
4153, 0
4154, 0
4155, 0
4156, 0
4157, 0
4158, 0
4159, 0
4160, 0
4161, 0
4162, 0
4163, 0
4164, 0
4165, 0
4166, 0
4167, 0
4168, 0
4169, 0
4170, 0
